一 01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,00H,00H
乙 00H,00H,40H,00H,40H,1CH,40H,62H,40H,82H,41H,02H,42H,02H,44H,02H,48H,02H,50H,02H,60H,02H,40H,02H,00H,02H,00H,1EH,00H,00H,00H,00H
二 00H,08H,00H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,00H,08H,00H,08H,00H,00H
十 02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,FFH,FFH,02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,00H,00H
丁 00H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,02H,40H,01H,7FH,FEH,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,00H,00H,00H,00H
厂 00H,01H,00H,06H,7FH,F8H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,00H,00H
七 01H,00H,01H,00H,01H,00H,01H,00H,01H,00H,02H,00H,FFH,FCH,02H,02H,02H,02H,02H,02H,04H,02H,04H,02H,04H,02H,04H,1EH,00H,00H,00H,00H
卜 00H,00H,00H,00H,00H,00H,00H,00H,00H,00H,00H,00H,FFH,FFH,00H,00H,04H,00H,02H,00H,01H,00H,00H,C0H,00H,00H,00H,00H,00H,00H,00H,00H
人 00H,01H,00H,02H,00H,04H,00H,08H,00H,30H,00H,C0H,03H,00H,FCH,00H,03H,00H,00H,C0H,00H,30H,00H,08H,00H,04H,00H,02H,00H,01H,00H,00H
入 00H,01H,00H,02H,00H,04H,00H,08H,00H,30H,80H,C0H,47H,00H,38H,00H,07H,00H,00H,C0H,00H,30H,00H,0CH,00H,02H,00H,01H,00H,01H,00H,00H
八 00H,00H,00H,01H,00H,06H,00H,18H,00H,E0H,3FH,00H,00H,00H,00H,00H,00H,00H,7EH,00H,01H,C0H,00H,30H,00H,0CH,00H,02H,00H,01H,00H,00H
九 00H,01H,08H,02H,08H,04H,08H,18H,08H,E0H,FFH,00H,08H,00H,08H,00H,08H,00H,08H,00H,0FH,FCH,00H,02H,00H,02H,00H,02H,00H,1EH,00H,00H
几 00H,01H,00H,02H,00H,0CH,00H,30H,7FH,C0H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,7FH,FCH,00H,02H,00H,02H,00H,02H,00H,1EH,00H,00H
儿 00H,01H,00H,02H,00H,04H,00H,18H,FFH,E0H,00H,00H,00H,00H,00H,00H,00H,00H,FFH,FCH,00H,02H,00H,02H,00H,02H,00H,02H,00H,1EH,00H,00H
了 00H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,02H,40H,01H,47H,FEH,44H,00H,48H,00H,50H,00H,60H,00H,40H,00H,00H,00H,00H,00H,00H,00H
力 00H,00H,08H,01H,08H,02H,08H,04H,08H,18H,08H,60H,FFH,80H,08H,00H,08H,04H,08H,02H,08H,01H,08H,02H,0FH,FCH,00H,00H,00H,00H,00H,00H
乃 00H,01H,00H,02H,40H,04H,40H,18H,40H,E0H,7FH,00H,40H,00H,40H,00H,40H,00H,46H,00H,5AH,02H,62H,01H,02H,02H,03H,FCH,00H,00H,00H,00H
刀 00H,00H,00H,01H,20H,02H,20H,04H,20H,18H,20H,60H,3FH,80H,20H,00H,20H,00H,20H,02H,20H,01H,20H,02H,3FH,FCH,00H,00H,00H,00H,00H,00H
又 00H,01H,00H,01H,40H,02H,78H,02H,46H,04H,41H,88H,40H,50H,40H,20H,40H,50H,41H,88H,4EH,04H,70H,02H,00H,02H,00H,01H,00H,01H,00H,00H
三 00H,04H,20H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,21H,04H,20H,04H,00H,04H,00H,00H
于 02H,00H,02H,00H,42H,00H,42H,00H,42H,00H,42H,02H,42H,01H,7FH,FEH,42H,00H,42H,00H,42H,00H,42H,00H,42H,00H,02H,00H,02H,00H,00H,00H
干 01H,00H,01H,00H,41H,00H,41H,00H,41H,00H,41H,00H,41H,00H,7FH,FFH,41H,00H,41H,00H,41H,00H,41H,00H,41H,00H,01H,00H,01H,00H,00H,00H
